id,texto,sentimento
668,silvia descobrindo a existência da criança que ela mais amou no mundo capítulo 89 #DuasCaras #DuasCarasNoGloboplay,1
306,saudades da minha novelinha laços de família e meu casal amor proibido capitu e fred faria os dois foda-se https://t.co/nj052SesQM,1
188,"Estou achando Vereda Tropical tão chatinha. Acho q vou desistir. Não tenho aquela empolgação pra maratonar. O começo foi bom, estava gostando.",-1
605,Mds a Dinah é muito burra #aviagemnogloboplay,-1
896,Conde é da zoeira!!! #AGataComeuNoGLOBOPLAY,1
251,Mulheres apaixonadas ali como se ninguém fosse perceber,0
151,Querendo comer porém dona i esta assistindo Terra Nostra na cozinha e eu n quero pegar spoiler,0
493,"deveria ser proibido o clone sofrer cortes, que CRIME... o gancho do primeiro capítulo vai ser na morte de sálua, sofro",-1
849,a falta q eu sinto de laços de família não cabe em mim,1
91,Vi Duna no cinema pela segunda vez e continuo tendo a mesma opinião: a melhor cena de briga de cigano depois do final da novela Pedra sobre Pedra,1
158,"Assistindo a entrevista do elenco de Round 6 no Jimmy Fallon, acho que nunca vou conseguir lidar com a beleza desse elenco",1
435,"eu gostei é meio água com açúcar, envolve empatia, gratidão tipo laços de familia",1
192,Glorinha tava maravilhosa demais nesse capítulo. ♥️ #mulheresdeareianoGloboplay https://t.co/S1WGvgXXnU,1
570,A terceira temporada de Sex Education já está disponível na Netflix! ,0
1011,Eu passo 3 meses fora e a tl tá pedindo remake de Terra Nostra com a 🌹. O que tá acontecendo? O que eu perdi?,0
859,Marcos tá com o diabo no couro. Já é o segundo pau que ele quer dar no César. #MulheresDeAreia,-1
259,@fulano O termômetro pra terra nostra (e rei do gado tb) será pantanal kkk novelas rurais fazem sucesso mas não são exploradas. Quem sabe com remakes 🤔,1
523,ouvindo corcovado bateu uma saudade de assistir laços de família de tarde junto com mainha e minha vozinha 🥺🥺💕,1
515,top 3 novelas da g17 — o clone barriga de aluguel américa,1
215,📸 | Imagens promocionais do elenco de #SquidGame ou #Round6 no set de gravações. O k-drama já está disponível na Netflix. https://t.co/7LHBdtdl7h,0
175,Odeio o barretinho ms que booom ver a Sabrina feliz AAAAAAAAA #DuasCarasNoGloboplay,1
179,Trilha internacional de de chocolate com pimenta em sex education,0
311,"Espero que a Globo venha com Mulheres de Areia pra elevar da média de Ti Ti Ti, que deve fechar abaixo da meta, uns 14.2/14.3 de média geral.",-1
239,passei um ácido aqui no rosto tive que ir pra varanda uivar pra lua igual a scarlet de a indomada pra ver se dava uma aliviada no calor,0
706,"Na minha opinião, a melhor novela original do Aguinaldo é Pedra Sobre Pedra. E acho que ele já demonstrava uma queda de originalidade desde a cultuadíssima Senhora Do Destino...",1
281,"Giovanna Antonelli relembra dança do ventre em O clone , que volta no Vale a pena ver de novo : Jade foi popular https://t.co/SVcTC2uVBd",1
131,O Clone vai voltar no Vale a pena ver de novo.... Assistir essa novela duas vezes no mesmo ano pra mim é maravilhoso,1
456,"@fulano A última novela foi O Fim do Mundo de 1996, mas o último trabalho na TV foi com Dona Flor e Seus Dois Maridos em 1998",0
866,"Ana Luisa Mendonça entregou demais nessa novela, n entendo pq ela n foi valorizada como a Pilar dps dessa novela.... Acho q se ela n tivesse feito explode coração posteriormente, ctz q ganharia um papel foda em ordg",1
812,"Meus 2 maiores medos: A propaganda eleitoral do Eneas  meu nome é eneas, 5656  E o cadeirudo da novela a indomada(?)",-1
155,Mulheres de Areia 💛 Miau noveleiro 😻,1
112,"Terminei round 6 e q tremendo lixo, meu Deus. Quem diria q seguir dica do Twitter seria uma má ideia n é mesmo",-1
108,"de pedra sobre pedra, uma das melhores novelas da globo",1
434,chocolate com pimenta melhor novela da globo dá vontade até de assistir de novo,1
425,ontem o 401 tomou seu primeiro cosmopolitan e foi pra casa assistir mulheres de areia,0
240,Era só um reboot de Laços de Família com Troca de Calçada de Marília Mendonça como tema de Capitu,0
370,E do cadeirudo d A Indomada. Uma amiga imitava ele quando a gente tava dando banda à noite e eu saía correndo pra casa.,0
975,"meu Deus, O Clone de novooo se bobear sei até às falas dessa novela",1
690,terra nostra tá em situação de vergonha repetindo frase feita de que todo mundo é falso todo mundo é hipócrita malvado e só querem atirar crucifixo no pobre coitado do curel https://t.co/SrFrGzbmsD,-1
689,1 like e eu começo a assistir terra nostra,1
122,a maior #PedraSobrePedra,1
159,"Dica pra quem não viu round 6: não veja, é uma merda",-1
664,eu acho que é tipo a novela A Viagem....a gente recebe umas roupas com paletas de cores de acordo se foi pro ceu ou pro inferno.,0
978,Tô aqui assistindo mulheres apaixonadas. Cenas da Heloísa. Não sei o final da história. Mas não consigo finalizar uma cena sem chorar. Sempre vai doer.,-1
210,Pronto o horóscopo entregou tudo #AGataComeuNoGloboplay,0
294,KKKKKKKK que ódio fui tentar fazer o dalgona do round 6 e ficou uma bela bosta (dica se forem fazer: botei só um pouco de bircabonato se não o gosto fica horrível 🤡) espectativa // realidade ,-1
649,Meu Wi-Fi tá muito ruim pra ver verdades secretas 😭,-1
15,depois que acabar de assistir chocolate com pimenta to pensando em ver alma gemea ou profeta,0
269,"Pronto, terminei Pedra Sobre Pedra. Foi uma delícia. É uma coisa louca. É um nonsense mágico e folclórico, folclore brasileiro na veia. A novela tem cenas tão folclóricas e doidas que parece um filme europeu/italiano do Federico Fellini só com que música e humor nacional. Amei.",1
354,O auge do Hugo gloss foi a época dos resumos de Verdades Secretas,0
957,Gente a qualidade horrível desse teaser de #OClone que passou agora,-1
923,Perdi tudo com Odilon Wagner de peruca 🙊🤣🤣🤣🤣 #TerraNostra,1
401,QUE SA-FA-DOOOOO Conde é perfeito! #AGataComeuNoGLOBOPLAY https://t.co/o7sh9245ws,1
948,Logo se vê que Rico nunca assistiu Terra Nostra e nem O Rei do Gado. Hahahh,-1
356,"não perco verdades secretas hoje por nada, novela tá muito boa kkkk",1
172,laços de família nacional e internacional bombando aqui hoje,1
913,"todo mundo quer gastar o dinheiro do Toni kkk já basta os presentes caros das crianças, não vai sobrar nada se ele descuida #AGataComeuNoGloboplay",-1
76,e todo mundo sabe que laços de família é melhor que barriclone,1
864,tô maratonando #DuasCarasNoGloboplay e tinha esquecido o quanto era boa. Silvia rainha ainda não entrou,1
750,TRIVIA: a novela  terra nostra  conta a história da tia joanne,0
857,Sim eu fiquei com esse vídeo na cabeça pq me lembrava algo agora vi que parece a abertura de mulheres de areia,0
622,"e ai Spotify essa entra no catálogo quando? tema da novela selva de pedra, agiliza aí globo",1
583,Eu queria que Neco Pedreira e Dr. Leão se pegassem e deixassem Telma vendo navios #OBemAmado,0
1018,"muito bom me alienar assistindo sex education, esqueci até que tenho uma entrevista em algumas horas e que estou em um dilema comigo mesma desde ontem",0
680,marconi ferraço é um vilão muito chibata #DuasCarasNoGloboplay,-1
719,comecei a ver mulheres apaixonadas e minha alma noveleira ta feliz demaisss,1
637,silvia olhando entediada para uma janela em um dia de chuva capítulo 89 #DuasCaras #DuasCarasNoGloboplay,0
626,a reedição de vereda tropical tá tão primorosa que dava pro viva pegar e exibir ,1
790,@fulano Início do ano tentei Mulheres de Areia e desisti na segunda semana,-1
150,essa música é maravilhosa; trilha internacional bombando #AgatacomeuNoGloboplay,1
904,"Assistindo mulheres apaixonadas, só o 1º dia da trama foi longuíssimo! Durando 5 capítulos",-1
